Lehwa taṛqaqt isebzagen aɛeṭaṛ aneznez is qqaṛen.
Tefser temɣaṛt iniɣman deg ufarrug.
Win isarmen amzun iwweḍ.
D temẓi i-ixeddmen ɣef temɣer.
Seg ɛeyyu, ṭṭseɣ ɣef yiwen n yidis.
Iḍ ameggaz, tirga lɛali.
Aseggas-a teǧuǧeg tefsut.
Izumal n uɣlan amaziɣ d awezɣi ar d at nettu.
Win yeččan yečča, win ur nečči tarbut tekkes.
Tesseqsa yid yiwet n temɣart: anda akka iqqeṛs uteyyut n waman a mmi? Rriɣ-as: nniɣ-am a yemma tamɣart, aniɣ d iteyyuten n waman kan i yeqqeṛsen, tamurt n ẓẓayen yekk teqqeṛs.
Ay meslent tilawin s ifassen n sent deg ijeqduṛen, ren-at a sen rrqem.
Afus ur tewɛed ara at ɣeẓẓ-d, sudn-it.
Acḥal d amdan, d ugerdan ukk d teqcicin i yesru uɣaṛabu!
Ay meslent tilawin s ifassen n sent n ijeqduṛen, ren-at a sen rrqem.
Afus ur tewɛed ara ad-t-ɣeẓẓ-d, sudn-it.
Segger, ɣiwel siwel-as si tiɣilt istan.
Aha sementeg times nni, ssiẓ isufa uqbel ad d tens.
Aql-aɣ tura di taggara lexṛif, mi ɣlin yekk iferrawen n tenqqult, fres urti.
Usiɣ-d iḍli tameddit, ɛeddaɣ ar tejmaɛt ur n ufiɣ ur a d yiwen, anda teddam aniɣ!?
Icegḍ-iyi yilef agi, a yettanef yakk i yicangalen is ldiɣ, ad iniɣ a yesraḥay uzzel.
Atnan ḍallen-d yemsuwwqen di tiɣilt wwusyax, azzel a kasi mmager baba-k.
Iḥun Rebbi ass-a mačči d suq, ddeqs n yergazen ukk d yelmeẓyen i yellan di taddert begsen s tebɣest n sen sensen times tili ad tečč ura d ijufaṛ nneɣ.
Win umi a tessurf-d yiwwas, abeqqa-k yuli-t yal as.
Ittɣiḍ inijel aquṛan, wameg azegzaw ittru.
Ad-yazen Ṛebbi ṣṣbeṛ d talwit, akken i d-yuzen taluft.
Yuker ḥeḍṛeɣ iggul umneɣ.
M ad d-teffreḍ iṭij s uɣerbal !
S anda akka id d at tteduḍ!?
Ad ɛeddiɣ ar dda kaci, ad as iniɣ azekka anebdu ameggel s yuga-s uqbel ad i-yizwiren wiyaḍ.
Ccah deg-s! ccah! teɣza y-as nna yamina, t sers-as saɛd-is deg rebbi-s i temcumt-nni n sekura.
Ɣur-wat ha, anda i tesṛuɣu-yem afrasen deg iɣurar n yiṭij !
